commentID,newID,comment,judge
53,7,"국힘이 대장동 운운하는 게 코미디. 주택개발사에서 지자체가 가장 공공환수를 많이한 사례이고, 개발업자한테 돈을 가장 많이 띁어가는 국힘이 대장동에서도 곽상도 원유철 등이 해먹었는데... 도둑놈들이 오히려 나대는거 보면 말세다 진짜.",0
54,7,"국짐은 정말....헌법 명시된 일자를 시간으로 바꿔 써결이 풀어줬고 즉시 항소포기를 눈감고 모른체 했던 내란세력이.....하늘을 손가리고 아웅해도 유분수지!! 개돼지 노인들과 개독교, 사이비 질질끌고 근근히 살아가는 국짐은 해체가 답이다!!",0
55,7,심우정이하고 노만석 같이 수사 받아야 된다고 국짐당애들아 주장해라,0
56,7,항소 취소를 지시한 범죄명이를 탄핵하자!,0
57,7,이번달도 몰려다니고 일은 언제 하냐ᆢ국민을 대신하는거 맞어? 나랏일에 똥물 붓고 싸돌아다니면서 통장에 월급받냐ᆢ이러고 한달에 천따리 돈 챙기냐ᆢ국민들 자괴감 든다ㆍ 손에 흙먼지도 안묻히고  유튜버 욕하면서 지들이 유튜버짓 하고 다니네ㆍ일좀 해라ᆢ이건 보여주기 쑈로만 보인다ᆢ,0
58,7,검찰이 답이라고 떠들더니만 ㅠㅠ,0
59,8,내란 ? 부정선거. 때문에 계엄을 한건데 부정선거 한놈들 수사 해야지?,0
60,9,"푸하하하하하하,  변함 없는 개 같은 수법... &lt;몰랐다&gt; ㅋㅋㅋㅋㅋㅋㅋㅋ  깐부들끼리 왜 이래?  대장동 수괴가 누구인지 초등도 알더라...  여기저기 서명은 다 해놓고 &lt;몰랐다&gt;.. ㅋㅋㅋㅋㅋㅋㅋ    아는게 뭐니?  ㅎㅈ 가 가르쳐주는 대로 일하냐?",0
61,9,ㅋㄱㄱㄱㅋㅋㅋㅋ ㅋㅋㅋㅋㅋㄱㄱㄱㅋㅋㄱㅋㅋㅋ내가 사후 보고 받았다고 했다고 개딸 1찍 전라도 지능장애자들은 진짜 그런 줄 알더라니깐 ㅋㄱㅋㅋㄱㅋㅋ 사후 보고 받은 척 좀 했네 ㅋㄱㅋ,0
62,9,니 재판 없애려 수작부리는거 모르는 사람있을까?,0
63,9,퇴직금 50억이면 해먹은 애들 수두룩할텐데  이재명한테 덤탱이 씌우기 실패하니 도망각 잡네,0
64,9,"사후에~~ㅋㅋ, 국민을 바보로 아네...",0
65,9,재판받아라 이재명,0
66,9,"눈멀고 귀막힌 인간들아 진실을 말하면 좀 인정해라. 
언제까지 거짓검찰에 속을래",0
67,9,"김만배한테 7,800억원을 추징하지 못한다고? 이것들이 죽을래?",0
68,9,또 나왔네 평소에도 지는 몰랐다는 척하는 꼬라지가 ㅋㅋㅋ 항소 포기로 찢이 젤 이득 보는구조인데 퍽이나 몰랐겠다 ㅋㅋㅋ,0
