commentID,newID,comment,judge
53,7,"국힘이 대장동 운운하는 게 코미디. 주택개발사에서 지자체가 가장 공공환수를 많이한 사례이고, 개발업자한테 돈을 가장 많이 띁어가는 국힘이 대장동에서도 곽상도 원유철 등이 해먹었는데... 도둑놈들이 오히려 나대는거 보면 말세다 진짜.",0
54,7,"국짐은 정말....헌법 명시된 일자를 시간으로 바꿔 써결이 풀어줬고 즉시 항소포기를 눈감고 모른체 했던 내란세력이.....하늘을 손가리고 아웅해도 유분수지!! 개돼지 노인들과 개독교, 사이비 질질끌고 근근히 살아가는 국짐은 해체가 답이다!!",0
55,7,심우정이하고 노만석 같이 수사 받아야 된다고 국짐당애들아 주장해라,0
56,7,항소 취소를 지시한 범죄명이를 탄핵하자!,0
57,7,이번달도 몰려다니고 일은 언제 하냐ᆢ국민을 대신하는거 맞어? 나랏일에 똥물 붓고 싸돌아다니면서 통장에 월급받냐ᆢ이러고 한달에 천따리 돈 챙기냐ᆢ국민들 자괴감 든다ㆍ 손에 흙먼지도 안묻히고  유튜버 욕하면서 지들이 유튜버짓 하고 다니네ㆍ일좀 해라ᆢ이건 보여주기 쑈로만 보인다ᆢ,0
58,7,검찰이 답이라고 떠들더니만 ㅠㅠ,0
59,8,내란 ? 부정선거. 때문에 계엄을 한건데 부정선거 한놈들 수사 해야지?,0
63,9,퇴직금 50억이면 해먹은 애들 수두룩할텐데  이재명한테 덤탱이 씌우기 실패하니 도망각 잡네,0
64,9,"사후에~~ㅋㅋ, 국민을 바보로 아네...",0
65,9,재판받아라 이재명,0
71,9,정성호는 법무부장관이 아니라 이재명 변호사처럼 행동하고 말한다,0
72,9,구라 까고 있네,0
73,9,지넘 치적이고 자신이 대장동 설계자라고 자랑하다가 먼 개소리ㅋ,0
74,9,감히 나한테 보고하지 않고 지맘대로 항소 포기했다고  화를 내야 정상이지. 그럼 보고 않고 항소포기시킨 법무장관을 파면하라.,0
80,10,니들 좋아하는 일본도 헤이트스피치법으로 처벌한다,0
84,10,자기의 과오를 반성하기는 커녕 팩트를 말하면 불편하니 법으로 국민들 입을 꼬매버리는 최악의 대통령,0
85,10,민주주의는 상대에 대한 존중이 기본이고 사회적 대화로 갈등을 풀어가려면 혐오나 조롱등의 표현을 방치해선 곤란하죠 국민의 일상이 그대로 직접민주주의 모습이 되도록 사회적 대화가 많아지길 바라며 이재명대통령을 응원하고 지지합니다,0
86,11,"귀신에 집착하는 나라
나라 팔아먹은 이씨왕조인데 
오세훈 화이팅",0
87,12,계엄한걸 내란이라고 굳이 내몰고 국민선동질하는건 여전하구나?,0
88,12,민주당이 내란이야,0
